,date,dB,something,ping,upload,download,jitter
289,2022-10-12 16:45:01,-31.0,12.3,709.27,19.57,32.65,6.95
290,2022-10-12 16:50:01,-30.6,12.6,708.82,17.62,21.45,6.43
291,2022-10-12 16:55:01,-30.6,12.5,705.27,10.51,29.01,6.55
292,2022-10-12 17:00:01,-30.7,12.6,696.91,20.7,30.13,7.07
293,2022-10-12 17:05:02,-30.8,12.5,698.36,6.04,27.27,7.29
294,2022-10-12 17:10:01,-30.8,12.4,708.45,5.63,25.63,6.6
295,2022-10-12 17:15:01,-30.7,12.5,691.64,13.43,32.23,7.22
296,2022-10-12 17:20:01,-30.9,12.3,705.64,13.65,30.16,6.97
297,2022-10-12 17:25:01,-30.8,12.3,705.82,18.81,17.26,7.07
298,2022-10-12 17:30:01,-30.7,12.5,712.18,10.33,22.34,6.97
299,2022-10-12 17:35:01,-30.6,12.3,710.36,16.69,20.21,6.6
300,2022-10-12 17:40:01,-30.9,12.5,701.0,11.16,9.97,6.73
301,2022-10-12 17:45:01,-30.6,12.3,711.82,6.55,33.45,7.05
302,2022-10-12 17:50:02,-30.6,12.4,701.18,18.02,34.13,6.92
303,2022-10-12 17:55:01,-30.6,12.4,713.27,13.66,34.19,6.65
304,2022-10-12 18:00:01,-30.7,12.2,705.91,16.29,23.64,6.6
305,2022-10-12 18:05:01,-30.8,12.2,708.91,18.05,19.32,6.6
306,2022-10-12 18:10:01,-30.9,12.1,701.18,10.24,9.65,7.02
307,2022-10-12 18:15:02,-30.8,12.3,719.45,7.56,22.78,6.85
308,2022-10-12 18:20:01,-31.1,12.1,710.55,25.98,13.87,8.6
309,2022-10-12 18:25:01,-30.8,12.1,716.64,11.69,11.65,1.9
310,2022-10-12 18:30:01,-30.8,12.0,712.18,2.44,27.46,6.8
311,2022-10-12 18:35:01,-30.8,12.3,701.36,17.53,32.95,7.24
312,2022-10-12 18:40:01,-30.6,12.3,696.91,9.79,23.36,6.65
313,2022-10-12 18:45:01,-30.7,12.3,695.0,15.08,27.55,6.75
314,2022-10-12 18:50:01,-30.8,12.4,698.55,12.21,25.44,6.92
315,2022-10-12 18:55:02,-30.8,12.5,712.27,15.64,26.53,1.53
316,2022-10-12 19:00:01,-30.9,12.3,712.0,4.64,35.77,6.45
317,2022-10-12 19:05:01,-31.0,12.5,711.91,15.38,9.62,6.77
318,2022-10-12 19:10:01,-30.9,12.4,719.55,3.01,14.48,6.58
319,2022-10-12 19:15:01,-30.9,12.2,700.55,9.21,34.73,1.14
320,2022-10-12 19:20:01,-30.7,12.3,712.09,4.48,10.07,6.72
321,2022-10-12 19:25:01,-30.9,12.5,717.0,3.32,22.5,1.16
322,2022-10-12 19:30:01,-31.2,12.1,708.27,14.25,27.35,6.23
323,2022-10-12 19:35:01,-30.9,12.5,712.0,3.89,14.88,6.67
324,2022-10-12 19:40:01,-30.9,12.3,702.36,12.2,30.89,0.87
325,2022-10-12 19:45:01,-30.9,12.4,708.36,15.61,18.79,6.7
326,2022-10-12 19:50:02,-31.0,12.3,712.18,11.73,10.93,4.55
327,2022-10-12 19:55:01,-30.9,12.6,708.45,19.01,13.43,6.9
328,2022-10-12 20:00:01,-30.9,12.6,731.0,18.36,11.88,6.77
329,2022-10-12 20:05:01,-31.2,12.3,708.73,9.4,17.5,7.14
330,2022-10-12 20:10:01,-30.9,12.3,712.09,4.49,19.27,7.02
331,2022-10-12 20:15:01,-30.7,12.3,704.91,18.74,17.02,6.63
332,2022-10-12 20:20:01,-30.9,12.3,708.64,13.89,13.09,6.73
333,2022-10-12 20:25:01,-31.1,12.2,697.91,8.36,23.47,6.7
334,2022-10-12 20:30:01,-30.8,12.3,701.0,20.49,20.99,6.75
335,2022-10-12 20:35:02,-31.1,12.5,708.91,14.43,10.38,6.55
336,2022-10-12 20:45:01,-31.3,12.0,712.82,16.92,23.67,7.02
337,2022-10-12 20:50:01,-31.0,12.3,704.91,10.44,14.46,6.7
338,2022-10-12 20:55:01,-31.2,12.2,705.0,14.88,19.38,6.82
339,2022-10-12 21:00:01,-31.1,12.3,709.73,7.51,28.19,6.75
340,2022-10-12 21:05:01,-31.1,12.4,712.18,5.09,24.4,1.58
341,2022-10-12 21:10:01,-31.1,12.5,704.73,11.0,30.89,6.48
342,2022-10-12 21:15:01,-30.8,12.3,708.55,4.38,28.11,6.43
343,2022-10-12 21:20:01,-30.9,12.1,707.64,7.81,29.02,6.95
344,2022-10-12 21:25:01,-31.0,12.2,712.27,12.11,11.4,6.95
345,2022-10-12 21:30:02,-31.2,12.0,704.82,14.47,22.99,6.82
